kepid,kepoi_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
6932987,1366.01,CANDIDATE,19.254040230,5.1310000e-05,-5.1310000e-05,2.76,0.35,0.13,0.855,0.027,-0.026,0.883,0.045,-0.059
6932987,1366.02,CANDIDATE,54.155838400,2.7700000e-04,-2.7700000e-04,3.52,0.16,0.63,0.855,0.027,-0.026,0.883,0.045,-0.059
6936909,1363.01,CANDIDATE,3.546531809,9.9770000e-06,-9.9770000e-06,2.68,0.52,0.22,1.213,0.086,-0.080,0.921,0.068,-0.062
6936909,1363.02,CANDIDATE,5.700706260,2.1470000e-05,-2.1470000e-05,2.50,0.68,0.22,1.213,0.086,-0.080,0.921,0.068,-0.062
6937529,4382.01,CANDIDATE,2.946489350,2.5140000e-05,-2.5140000e-05,1.07,0.07,0.06,1.407,0.042,-0.038,1.165,0.067,-0.087
6937529,4382.02,CANDIDATE,3.981670880,5.2620000e-05,-5.2620000e-05,0.95,0.08,0.06,1.407,0.042,-0.038,1.165,0.067,-0.087
6946199,1359.01,CANDIDATE,37.101141800,1.1870000e-04,-1.1870000e-04,3.61,0.11,0.15,0.961,0.029,-0.028,1.014,0.031,-0.036
6946199,1359.02,CANDIDATE,104.820586800,2.3290000e-04,-2.3290000e-04,7.30,0.24,0.27,0.961,0.029,-0.028,1.014,0.031,-0.036
6948054,869.04,CANDIDATE,3.219814777,5.5310000e-06,-5.5310000e-06,1.73,0.10,0.06,0.806,0.027,-0.026,0.845,0.039,-0.046
6948054,869.01,CANDIDATE,7.490183050,1.1810000e-05,-1.1810000e-05,2.63,0.13,0.09,0.806,0.027,-0.026,0.845,0.039,-0.046
6948054,869.03,CANDIDATE,17.460879310,5.2780000e-05,-5.2780000e-05,2.37,0.53,0.15,0.806,0.027,-0.026,0.845,0.039,-0.046
6948054,869.02,CANDIDATE,36.276123800,1.0550000e-04,-1.0550000e-04,3.10,0.15,0.11,0.806,0.027,-0.026,0.845,0.039,-0.046
6949061,1960.01,CANDIDATE,8.968470340,3.0920000e-05,-3.0920000e-05,1.91,0.32,0.09,1.212,0.035,-0.036,1.103,0.066,-0.070
6949061,1960.02,CANDIDATE,23.221811500,1.0720000e-04,-1.0720000e-04,2.13,0.10,0.41,1.212,0.035,-0.036,1.103,0.066,-0.070
6949607,870.01,CANDIDATE,5.912273234,7.0390000e-06,-7.0390000e-06,2.02,0.06,0.05,0.664,0.013,-0.013,0.684,0.025,-0.026
6949607,870.02,CANDIDATE,8.985819010,1.4370000e-05,-1.4370000e-05,1.92,0.07,0.04,0.664,0.013,-0.013,0.684,0.025,-0.026
6962977,1364.05,CANDIDATE,2.580832640,1.2230000e-05,-1.2230000e-05,1.35,0.09,0.08,0.832,0.036,-0.032,0.867,0.045,-0.050
6962977,1364.04,CANDIDATE,3.715455930,1.9330000e-05,-1.9330000e-05,1.51,0.09,0.08,0.832,0.036,-0.032,0.867,0.045,-0.050
6962977,1364.02,CANDIDATE,7.055658400,2.1320000e-05,-2.1320000e-05,2.19,0.11,0.11,0.832,0.036,-0.032,0.867,0.045,-0.050
6962977,1364.03,CANDIDATE,11.978844090,5.7450000e-05,-5.7450000e-05,2.17,0.13,0.10,0.832,0.036,-0.032,0.867,0.045,-0.050
6962977,1364.01,CANDIDATE,20.834149700,1.3000000e-04,-1.3000000e-04,2.33,0.13,0.11,0.832,0.036,-0.032,0.867,0.045,-0.050
6964929,2756.01,CANDIDATE,0.665025941,1.5340000e-06,-1.5340000e-06,1.05,0.04,0.06,1.010,0.028,-0.027,1.060,0.035,-0.044
6964929,2756.02,CANDIDATE,5.069932450,7.7500000e-05,-7.7500000e-05,0.99,0.05,0.09,1.010,0.028,-0.027,1.060,0.035,-0.044
6975129,1628.02,CANDIDATE,1.772451066,6.5970000e-06,-6.5970000e-06,1.49,0.07,0.06,1.679,0.043,-0.042,1.365,0.060,-0.057
6975129,1628.01,CANDIDATE,19.747339830,4.3160000e-05,-4.3160000e-05,3.83,0.72,0.17,1.679,0.043,-0.042,1.365,0.060,-0.057
6975129,1628.03,CANDIDATE,37.840423200,2.6580000e-04,-2.6580000e-04,2.57,0.11,0.10,1.679,0.043,-0.042,1.365,0.060,-0.057
7017274,3209.02,CANDIDATE,6.770676370,5.7340000e-05,-5.7340000e-05,1.79,0.09,0.08,2.195,0.056,-0.052,1.557,0.076,-0.080
7017274,3209.01,CANDIDATE,11.912566750,8.5080000e-05,-8.5080000e-05,2.45,0.09,0.10,2.195,0.056,-0.052,1.557,0.076,-0.080
7021681,255.02,CANDIDATE,13.603208100,1.8320000e-04,-1.8320000e-04,0.93,0.29,0.09,0.634,0.018,-0.018,0.617,0.013,-0.013
7021681,255.01,CANDIDATE,27.521947720,3.0580000e-05,-3.0580000e-05,3.07,0.09,0.11,0.634,0.018,-0.018,0.617,0.013,-0.013
